Feature	Gain	Cover	Frequency
Master_mpagominimo	0.00299619103745019	0.00344676059515179	0.00318242480238169
ccallcenter_trx	0.00294849390660874	0.0048027176136223	0.00215583615645211
cmobile_app_trx	0.00248595343367732	0.00190294580453131	0.00359306026075352
Master_mconsumototal	0.0023724829722187	0.00321322895614299	0.00390103685453239
mdescubierto_preacordado	0.00233469632088262	0.00816909160166899	0.00246381275023098
Visa_fultimo_cierre	0.00222446737854273	0.00179041758564461	0.0033877425315676
ccajas_consultas	0.00218947263154923	0.0109566409205991	0.00195051842726619
mplazo_fijo_dolares	0.00210806720303579	0.0148028686736845	0.0026691304794169
Visa_mpagosdolares	0.00204474035520229	0.00545337850941368	0.00431167231290422
ctarjeta_debito	0.00204293408722281	0.00274225635999199	0.00297710707319577
Visa_status	0.00202725655647604	0.00544296368495054	0.000923929781336618
Master_msaldototal	0.00184281103377676	0.00286657267663485	0.00390103685453239
mtarjeta_master_consumo	0.00174778612897023	0.00206428536867622	0.00225849502104507
cextraccion_autoservicio	0.00164093425112027	0.00598680998066562	0.00646750846935633
cpagomiscuentas	0.00154961352393076	0.00504582207011166	0.00390103685453239
Master_mconsumospesos	0.00151809817394512	0.00282576039771117	0.00390103685453239
Master_fultimo_cierre	0.00144998217205436	0.00167657122487447	0.00307976593778873
cseguro_accidentes_personales	0.00143763963420398	0.00723092040494963	0.00225849502104507
ccaja_seguridad	0.00129243284352899	0.0058972815834639	0.00143722410430141
ctarjeta_master	0.00127957245567915	0.000786459581464592	0.000821270916743661
Visa_Finiciomora	0.00123587404046987	0.00589411403338656	0.00112924751052253
matm	0.00120141133237958	0.00477016001029574	0.00595421414639154
catm_trx	0.000963781168119312	0.00331907123863227	0.00307976593778873
Master_cconsumos	0.000865961026591029	0.00106049777067124	0.00153988296889436
cinversion1	0.000755951899008627	0.00607976654915357	0.000821270916743661
Visa_msaldodolares	0.000721274301773893	0.000933159250394463	0.00112924751052253
ccajas_trx	0.000657299689767321	0.00203201344629017	0.000718612052150703
ctarjeta_master_trx	0.000656315415557611	0.00165331579392693	0.00112924751052253
tmobile_app	0.000639626138008336	0.00702884374107592	0.00102658864592958
Master_mpagado	0.000600806120469308	0.0072056551835258	0.00133456523970845
mcheques_emitidos	0.000570475810834413	0.00238741557213527	0.000307976593778873
tpaquete9	0.000532620366932071	0.00524681615357919	0.00102658864592958
tpaquete7	0.000513467975013644	0.00590564652188016	0.000821270916743661
cplazo_fijo	0.000509179902047423	0.0022575209592328	0.000718612052150703
matm_other	0.000506405648299941	0.00218322386691246	0.00215583615645211
Visa_delinquency	0.000482161590936964	0.00167861609897503	0.000718612052150703
active_quarter	0.00046130560741209	0.000237461004927515	0.000615953187557746
