fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 193637	-0.424328867218224	2283	1041	18	5	10899000	89
20220517 193705	-0.89473439205382	6618	1146	4	5	8227000	90
20220517 193745	-0.771455553362472	6178	346	7	5	9291000	91
20220517 193833	-0.61011149399362	5559	356	14	5	9477000	92
20220517 193920	-0.396453551660874	7281	337	10	5	8035000	93
20220517 193947	-0.852419403941254	5450	423	4	5	9556000	94
20220517 194025	-0.957329173893598	6719	772	7	5	8072000	95
20220517 194051	-0.926844292717054	1162	238	3	5	8881000	96
20220517 194151	-0.152976747586531	4260	183	13	5	9700000	97
20220517 194256	-0.162112316019786	5141	989	14	5	9494000	98
20220517 194352	-0.39868973740912	6262	124	7	5	8588000	99
20220517 194441	-0.634340665392857	3177	982	8	5	10520000	100
20220517 194526	-0.446253793929052	6323	1789	12	5	8618000	101
20220517 194610	-0.529182276170747	3425	598	19	5	10323000	102
20220517 194649	-0.320356478447583	7621	1961	14	5	8090000	103
20220517 194727	-0.797287639210001	2756	914	6	5	10801000	104
20220517 194800	-0.0611536372367292	4962	1061	6	5	9529000	105
20220517 194828	-0.420805028263573	5992	1705	4	5	8880000	106
20220517 194902	-0.633606395424716	7401	1206	14	5	8090000	107
20220517 194940	-0.5007216717856	3230	527	11	5	10342000	108
20220517 195008	-0.106843173406622	6446	145	6	5	8221000	109
20220517 195034	-0.335867879035464	2704	717	5	5	10740000	110
20220517 195103	-0.361735320197139	3636	1646	6	5	9544000	111
20220517 195137	-0.721428598673944	6384	920	12	5	8252000	112
20220517 195215	-0.577616877634684	3710	655	10	5	10138000	113
20220517 195309	-0.652282175197755	557	119	11	5	7914000	114
20220517 195327	-0.859254010948073	6040	1311	3	5	8320000	115
20220517 195403	-0.552548424409749	4679	1306	13	5	9111000	116
